Epoch,loss_D_fake,loss_D_real,loss_D,loss_G_GAN,loss_G_L1,loss_G
1,0.6089310258924961,0.6029923344254494,0.6059616811871529,1.0670148456692696,8.024436968803405,9.091451804161071
2,0.5915786406397819,0.6025641574263573,0.5970713986754418,1.0847969824671746,8.158127668380738,9.242924640655518
3,0.6089275658428669,0.6202667544782162,0.614597160577774,1.0154163293242455,7.901274980545044,8.916691309928893
4,0.6101173804700375,0.6255770942866802,0.617847237765789,0.9895845345854759,7.620088918685913,8.609673456192017
5,0.6154258931279183,0.6290484013855457,0.6222371484041214,0.9674239278435707,7.416211703300476,8.383635618209839
6,0.6233833967745304,0.6370625472068787,0.6302229735851288,0.9405512200593948,7.195642068862915,8.136193303108215
7,0.6269941295087338,0.6424264636039734,0.6347102963924408,0.916298722743988,7.028748224258423,7.945046948432922
8,0.6296510445475578,0.6463758084326983,0.6380134247541428,0.9080685905218124,6.850504323959351,7.758572897911072
9,0.6377934780716896,0.6445151800513268,0.6411543289422988,0.899759225487709,6.65266090965271,7.552420139312744
10,0.6375028845965862,0.647441394597292,0.6424721398949623,0.8896157144904137,6.5125100059509275,7.4021257276535035
11,0.6398538933992386,0.6444100236445666,0.642131958425045,0.8823956381082535,6.352288102149964,7.2346837539672855
12,0.6381311385035515,0.6480762602686883,0.6431036999821663,0.8756164189577103,6.196679109573364,7.0722955236434935
13,0.6428285532295704,0.6522876333296299,0.6475580934286117,0.8725363903641701,6.079858966827393,6.9523953466415405
14,0.6414437661468982,0.6508843875378371,0.6461640770435333,0.8722900804877282,5.965126971244812,6.837417045593262
15,0.6433360444009304,0.6514367431998253,0.6473863939642907,0.8644817869663238,5.844926913261413,6.709408697128296
16,0.6440537019073963,0.6525550560951233,0.6483043793439865,0.8635794269442558,5.7073886671066285,6.570968111991882
17,0.6463082085251808,0.6523018015921116,0.6493050053119659,0.8594351927638054,5.625633295059204,6.485068482398987
18,0.6443386640548706,0.6505616992264986,0.6474501802921295,0.8601797788143158,5.507819806098938,6.367999584197998
19,0.6469530612528324,0.6511329236030579,0.6490429922938347,0.8598825610876083,5.414772365570069,6.274654926300049
20,0.6438589306771755,0.6499411239176989,0.6469000272154808,0.8593022956848144,5.291836916923523,6.15113921546936
