Epoch,loss_D_fake,loss_D_real,loss_D,loss_G_GAN,loss_G_L1,loss_G
1,0.6538275480866432,0.6466898422837257,0.650258694767952,0.9103568801879883,4.082578980445862,4.992935858726502
2,0.6493122212290764,0.6504579275250435,0.6498850742578507,0.895626582980156,4.160631175041199,5.0562577705383305
3,0.6522011276483536,0.6608322696685791,0.6565166982412338,0.8598533883690834,3.991495494842529,4.851348885059357
4,0.6537682200968266,0.6618071315288544,0.6577876763939857,0.8536959525346756,3.8863342480659484,4.740030201911926
5,0.6611319788694382,0.6678552565574646,0.6644936183691025,0.8320537269711494,3.7865976538658144,4.6186513781547545
6,0.6644237520694732,0.6703705638051033,0.6673971585035324,0.8123582882881164,3.6510030364990236,4.463361321926117
7,0.6662624249756336,0.6713545962572097,0.6688085108995437,0.8075093622207642,3.560793426990509,4.368302783966064
8,0.665795785009861,0.6720121857523919,0.668903985619545,0.8072364095449448,3.46433144569397,4.271567862987518
9,0.666203977227211,0.6712130088210105,0.6687084927558898,0.8033254252672195,3.367147783756256,4.170473195552826
10,0.6674654580354691,0.6736561762094497,0.6705608162879944,0.8000715873241424,3.3048333253860473,4.104904910087585
11,0.6681737741231918,0.6735127641260624,0.6708432680368424,0.798768753528595,3.2263840112686157,4.025152760982514
12,0.666504005432129,0.6723826131224633,0.6694433099031448,0.7992107722759246,3.1420544357299804,3.941265207767487
13,0.6677702882885933,0.6731529265642167,0.6704616064429283,0.8031901344060898,3.0760426139831543,3.879232741355896
14,0.667218264579773,0.669777699291706,0.6684979816675186,0.7970444581508637,3.0204384207725523,3.8174828782081605
15,0.6665797474384307,0.6711557922363282,0.668867770075798,0.8005405583381653,2.975225214004517,3.775765772342682
16,0.6663662292957306,0.6719710456728936,0.6691686381101608,0.7987920591831207,2.915445496082306,3.7142375555038454
17,0.6668312691450119,0.669999533444643,0.6684154014587402,0.8016007357835769,2.8536054167747498,3.655206151008606
18,0.6702389779686928,0.6730055803656578,0.6716222789287567,0.7981562334299087,2.796988320827484,3.595144552230835
19,0.666015432357788,0.669527367413044,0.667771399140358,0.7976591126918793,2.755598174095154,3.553257282733917
20,0.6684586225748063,0.6706635538339615,0.6695610888004303,0.7968890272378921,2.714440696954727,3.511329723358154
